epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,238.96,1.80215,1.08243,1.07125,0.79137,0.78957,0.81606,0.41407,1.64062,0.96817,1.06542,0.003928,0.003928,0.003928
94,241.705,1.78586,1.0822,1.05087,0.7319,0.69185,0.7255,0.30317,1.93186,1.14119,1.11896,0.003862,0.003862,0.003862
95,244.228,1.7823,1.0475,1.0644,0.79187,0.78708,0.82206,0.44913,1.55149,0.94061,1.03809,0.003796,0.003796,0.003796
96,247.008,1.80474,1.08985,1.0562,0.78697,0.79914,0.82398,0.45002,1.54618,0.93024,1.03624,0.00373,0.00373,0.00373
97,249.81,1.7739,1.07892,1.05823,0.76201,0.76738,0.77775,0.34202,1.8163,1.03746,1.13379,0.003664,0.003664,0.003664
98,252.169,1.7659,1.04002,1.05329,0.79426,0.78627,0.81917,0.44489,1.53318,0.94706,1.02858,0.003598,0.003598,0.003598
99,254.646,1.75957,1.06358,1.0537,0.7964,0.79575,0.82142,0.43338,1.59246,0.93356,1.0531,0.003532,0.003532,0.003532
100,257.049,1.73843,1.04615,1.05228,0.76676,0.73219,0.77122,0.38028,1.69059,1.01069,1.06049,0.003466,0.003466,0.003466
101,259.459,1.75582,1.06397,1.0477,0.79654,0.79657,0.82297,0.45127,1.53312,0.92108,1.03539,0.0034,0.0034,0.0034
102,262.142,1.69814,1.0232,1.04254,0.80426,0.79957,0.82882,0.46303,1.49575,0.91391,1.02243,0.003334,0.003334,0.003334
103,264.471,1.69203,1.02153,1.0458,0.79636,0.80258,0.8217,0.44047,1.57272,0.92403,1.04902,0.003268,0.003268,0.003268
104,267.135,1.73923,1.05633,1.05788,0.80064,0.79977,0.82133,0.43215,1.58075,0.92491,1.05504,0.003202,0.003202,0.003202
105,269.848,1.77602,1.05733,1.04902,0.78759,0.78456,0.81527,0.42498,1.56881,0.94569,1.03438,0.003136,0.003136,0.003136
106,272.237,1.69413,1.00003,1.044,0.80504,0.80283,0.82908,0.45399,1.51441,0.91223,1.02787,0.00307,0.00307,0.00307
107,275.025,1.81276,1.04338,1.03458,0.78561,0.78798,0.81465,0.42394,1.59244,0.93615,1.03918,0.003004,0.003004,0.003004
