epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,4171.06,1.68066,0.97747,1.04705,0.79676,0.80931,0.83097,0.46124,1.50638,0.90674,1.02716,0.00274,0.00274,0.00274
112,4209.33,1.72617,1.02703,1.03221,0.78281,0.77035,0.80205,0.44458,1.5204,0.93595,1.02553,0.002674,0.002674,0.002674
113,4249.18,1.68689,0.97387,1.04373,0.75615,0.7206,0.76189,0.38589,1.6699,1.00223,1.05544,0.002608,0.002608,0.002608
114,4288.96,1.74711,1.00907,1.03569,0.78783,0.79142,0.81798,0.46871,1.47366,0.89702,1.0223,0.002542,0.002542,0.002542
115,4328.54,1.7448,0.98358,1.05018,0.78136,0.78841,0.81131,0.45411,1.5101,0.90568,1.02397,0.002476,0.002476,0.002476
116,4366.39,1.68368,0.98322,1.02001,0.79341,0.80773,0.82851,0.46122,1.5013,0.88757,1.02467,0.00241,0.00241,0.00241
117,4406.17,1.69794,0.98686,1.04026,0.7996,0.7946,0.82296,0.42574,1.59987,0.91082,1.05123,0.002344,0.002344,0.002344
118,4445.01,1.69353,0.99605,1.03252,0.79737,0.80858,0.83268,0.46404,1.49109,0.88605,1.02053,0.002278,0.002278,0.002278
119,4486.97,1.73092,0.98916,1.05046,0.79708,0.8133,0.83734,0.45581,1.51098,0.87956,1.02877,0.002212,0.002212,0.002212
120,4526.24,1.70898,1.01505,1.03376,0.78801,0.80987,0.82599,0.4615,1.49182,0.88449,1.01879,0.002146,0.002146,0.002146
121,4564.11,1.66433,1.01183,1.05129,0.79735,0.81116,0.83702,0.46689,1.4889,0.88028,1.02321,0.00208,0.00208,0.00208
122,4602.62,1.64548,0.97341,1.03402,0.78414,0.80773,0.83069,0.46775,1.49242,0.88277,1.02266,0.002014,0.002014,0.002014
123,4643.23,1.79247,1.02926,1.03603,0.77252,0.80017,0.8146,0.44861,1.53531,0.91106,1.02632,0.001948,0.001948,0.001948
124,4682.91,1.75627,1.01968,1.02602,0.78931,0.79908,0.82691,0.46572,1.49474,0.88242,1.02109,0.001882,0.001882,0.001882
125,4722.84,1.67083,0.96128,1.02587,0.79394,0.8086,0.83498,0.45759,1.50799,0.89034,1.02824,0.001816,0.001816,0.001816
126,4761.31,1.66582,0.95834,1.03447,0.78686,0.7897,0.81803,0.46087,1.49428,0.89922,1.01813,0.00175,0.00175,0.00175
127,4800.36,1.6739,0.98636,1.03579,0.79552,0.80944,0.83541,0.47558,1.47134,0.88214,1.01507,0.001684,0.001684,0.001684
128,4840.2,1.69344,0.97034,1.03801,0.79858,0.79313,0.83033,0.4702,1.48271,0.89001,1.01483,0.001618,0.001618,0.001618
129,4880.23,1.69156,0.97021,1.04606,0.8027,0.80323,0.83945,0.47129,1.47711,0.87525,1.01756,0.001552,0.001552,0.001552
130,4918.1,1.70816,0.99993,1.03933,0.80183,0.80258,0.83154,0.47082,1.49063,0.88799,1.01662,0.001486,0.001486,0.001486
131,4961.72,1.74019,0.99761,1.01747,0.79812,0.79579,0.82694,0.46294,1.51361,0.88907,1.02119,0.00142,0.00142,0.00142
132,4998.54,1.6023,0.94998,1.03296,0.80287,0.79957,0.83647,0.46904,1.49274,0.87134,1.02043,0.001354,0.001354,0.001354
133,5037.55,1.67455,0.9663,1.02602,0.79718,0.80258,0.83741,0.46598,1.49061,0.8743,1.02086,0.001288,0.001288,0.001288
134,5077.18,1.62358,0.97071,1.03188,0.7947,0.80558,0.83211,0.46582,1.4957,0.87478,1.02086,0.001222,0.001222,0.001222
135,5114.02,1.61176,0.93319,1.03488,0.79757,0.80998,0.84027,0.46916,1.49261,0.86992,1.01944,0.001156,0.001156,0.001156
136,5154.78,1.64771,0.94698,1.02443,0.79626,0.79871,0.82944,0.46366,1.50412,0.88011,1.01993,0.00109,0.00109,0.00109
137,5201.11,1.75964,0.99768,1.0291,0.80134,0.80086,0.83128,0.47111,1.483,0.86547,1.01627,0.001024,0.001024,0.001024
138,5242.55,1.667,0.95697,1.02404,0.79812,0.80644,0.83181,0.47029,1.47496,0.85897,1.01624,0.000958,0.000958,0.000958
139,5283.42,1.71764,0.9749,1.04243,0.80344,0.80348,0.83789,0.47455,1.47327,0.85728,1.01554,0.000892,0.000892,0.000892
140,5322.34,1.62664,0.9585,1.02686,0.80439,0.79957,0.83188,0.47212,1.4816,0.86127,1.01553,0.000826,0.000826,0.000826
141,5357.69,1.6445,0.96751,1.02916,0.79997,0.80773,0.83357,0.47078,1.48122,0.8643,1.01528,0.00076,0.00076,0.00076
142,5392.41,1.6365,0.99259,1.04344,0.79725,0.81416,0.83658,0.47087,1.47902,0.86486,1.01486,0.000694,0.000694,0.000694
143,5428.78,1.64651,0.95239,1.01386,0.8006,0.80644,0.83159,0.46801,1.48535,0.87521,1.01508,0.000628,0.000628,0.000628
144,5464.46,1.68263,0.99441,1.02821,0.8002,0.80858,0.82982,0.46813,1.48348,0.87691,1.01415,0.000562,0.000562,0.000562
145,5499.33,1.62931,0.95963,1.02554,0.79352,0.81159,0.82992,0.46703,1.47894,0.87565,1.01357,0.000496,0.000496,0.000496
146,5534.83,1.67357,0.96674,1.02821,0.79124,0.80901,0.82649,0.46505,1.48133,0.88267,1.01413,0.00043,0.00043,0.00043
147,5570.43,1.64372,0.97798,1.03124,0.79633,0.80043,0.82359,0.4618,1.48994,0.88395,1.01516,0.000364,0.000364,0.000364
148,5606.1,1.57244,0.94263,0.99887,0.78796,0.8086,0.82524,0.46573,1.48253,0.87913,1.01352,0.000298,0.000298,0.000298
149,5642.08,1.63277,0.95802,1.03066,0.79276,0.80901,0.82634,0.46629,1.48764,0.87826,1.01536,0.000232,0.000232,0.000232
150,5677.27,1.63656,0.98232,1.03278,0.79416,0.8103,0.82814,0.46809,1.47748,0.87374,1.01277,0.000166,0.000166,0.000166
